Release Year,ID,Name
1934,0,
1934,1,The World Moves On
1934,2,Handy Andy
1934,3,Baby Take a Bow
1934,4,She Learned About Sailors
1934,5,Charlie Chan's Courage
1934,6,She Was a Lady
1934,7,Grand Canary
1934,8,Paris Interlude
1934,9,Treasure Island
1934,10,The Defense Rests
1934,11,Beyond the Law
1934,12,The Notorious Sophie Lang
1934,13,Secret of the Chateau
1934,14,Elmer and Elsie
1934,14,Love Thy Neighbor
1934,15,Ladies Should Listen
1934,16,The Scarlet Empress
1934,17,She Loves Me Not
1934,18,Change of Heart
1934,19,David Harum
1934,44,Syncopated City
1934,49,His Greatest Gamble
1934,50,Their Big Moment
1934,51,There's Always Tomorrow
1934,52,Bachelor Bait
1934,53,Of Human Bondage
1934,54,"Hat, Coat, and Glove"
1934,55,The Cat's-Paw
1934,56,British Agent
1934,57,Housewife
1934,58,Friends of Mr. Sweeney
1934,59,Our Daily Bread
1934,59,Rambling 'Round Radio Row (III)
1934,65,Crime Without Passion
1934,68,One Night of Love
1934,69,Blind Date
1934,69,No Contest!
1934,70,Bulldog Drummond Strikes Back
1934,70,"Paree, Paree"
1934,71,The Last Gentleman
1934,72,The Circus Clown
1934,73,Madame Du Barry
1934,74,Here Comes the Navy
1934,74,Smoked Hams
1934,75,Kansas City Princess
1934,80,Cleopatra
1934,81,The Personality Kid
1934,82,Return of the Terror
1934,83,Midnight Alibi
1934,84,The Man with Two Faces
1934,91,The Girl from Missouri
1934,92,Romance in the Rain
1934,93,Million Dollar Ransom
1934,94,The Church Mouse
1934,95,The Girl at the Ironing Board
1934,96,Strikes and Spares
1936,97,The Last Journey
1934,101,Now and Forever
1934,102,Servants' Entrance
1934,103,Dames
1934,104,The Dragon Murder Case
1934,108,Straight Is the Way
1934,111,Judge Priest
1934,113,The Lady Is Willing
1934,122,One More River
1934,123,Desirable
1934,124,Among the Missing
1934,125,Big Hearted Herbert
1934,126,Hide-Out
1934,127,Peculiar Penguins
1934,128,You Belong to Me
1934,130,The Human Side
1934,132,Holiday Land
1934,133,Mrs. Wiggs of the Cabbage Patch
1934,136,Belle of the Nineties
1934,137,The Case of the Howling Dog
1934,139,The Fountain
1934,140,The Age of Innocence
1934,145,Down to Their Last Yacht
1934,146,The Barretts of Wimpole Street
1934,147,A Lost Lady
1934,150,Second Hand Husband
1934,155,Caravan [English-language version]
1934,157,Gift of Gab
1934,158,The Scarlet Letter
1934,161,Girl in Danger
1934,162,That's Gratitude
1934,164,The Richest Girl in the World
1934,166,The Count of Monte Cristo
1934,170,She Had to Choose
1934,171,Charlie Chan in London
1934,174,Chained
1934,178,The Pursuit of Happiness
1934,179,Wake Up and Dream
1934,180,Caravan [French-language version]
1934,181,Gambling
1934,181,Young and Beautiful
1934,182,Rocky Rhodes
1934,183,Have a Heart
1934,184,Death on the Diamond
1934,185,Happiness Ahead
1934,186,Fugitive Road
1934,187,Two Heads on a Pillow
1935,189,One in a Million (I)
1934,190,A Girl of the Limberlost
1934,191,King Kelly of the U.S.A.
1934,196,Wagon Wheels
1934,197,Green Eyes
1934,198,Las Fronteras del amor
1934,199,Dos más uno dos
1931,202,The Avenger
1931,203,Desert Vengeance
1931,204,The Fighting Sheriff
1933,207,The California Trail
1932,208,South of the Rio Grande
1934,212,Once to Every Bachelor
1933,215,Unknown Valley
1932,216,McKenna of the Mounted
1934,217,Dumbbell Letters #7
1934,219,School for Girls
1933,220,Silent Men
1932,221,Fighting for Justice
1932,222,The Western Code
1934,223,Peck's Bad Boy
1934,224,Redhead
1935,225,Tomorrow's Youth
1934,226,One Exciting Adventure
1934,230,Love Time
1934,233,The Firebird
1934,234,I Sell Anything
1934,235,High School Girl
1934,236,The Lemon Drop Kid
1934,237,Dangerous Corner
1934,245,We Live Again
1934,246,Crimson Romance
1934,247,House of Danger
1934,248,Mickey Plays Papa
1934,250,The Dude Ranger
1934,251,Night Alarm
1934,252,Outcast Lady
1934,253,Gentlemen Are Born
1934,254,Ready for Love
1934,260,I'll Fix It
1935,265,Gigolette
1934,266,Menace (I)
1934,267,Transatlantic Merry-Go-Round
1935,268,Enter Madame
1934,269,365 Nights in Hollywood
1934,270,The St. Louis Kid
1935,271,Baby Be Good
1934,271,Wednesday's Child
1935,272,Baboona
1934,272,Lady by Choice
1942,279,So You Want to Give Up Smoking
1934,280,The Curtain Falls
1934,282,The Gay Divorcee
1934,283,Marie Galante
1934,287,Student Tour
1934,289,6 Day Bike Rider
1934,291,Against the Law
1934,292,By Your Leave
1934,293,The Merry Widow
1934,294,Girl o' My Dreams
1934,295,A Successful Failure
1934,296,The Iron Duke
1935,296,Without Children
1934,300,Limehouse Blues
1934,301,Great Expectations
1934,302,Elinor Norton
1935,310,Home on the Range
1934,311,College Rhythm
1935,312,Chandu on the Magic Island
1935,315,Dumb Luck
1934,317,Anne of Green Gables
1934,318,What Every Woman Knows
1934,320,Gridiron Flash
1934,321,Kid Millions
1935,325,The Song of the Birds
1934,326,Kentucky Kernels
1935,326,The Old Grey Mayor
1934,329,The Captain Hates the Sea
1934,330,Fugitive Lady
1934,331,Port of Lost Dreams
1934,332,Prescott Kid
1934,333,Cheating Cheaters
1934,335,Hell in the Heavens
1934,336,Bachelor of Arts
1934,337,Here Is My Heart
1934,341,Lost in the Stratosphere
1934,343,It's a Gift
1934,344,The Goddess of Spring
1934,346,The White Parade
1935,347,Señora casada necesita marido
1934,349,Babbitt
1934,350,Flirtation Walk
1934,352,Lightning Strikes Twice
1934,353,When a Man Sees Red
1934,354,Men of the Night
1935,355,White Lies
1934,356,Jealousy
1940,357,Bulldog Sees It Through
1934,358,I Am a Thief
1934,359,The World Accuses
1934,361,I've Been Around
1932,362,Bachelor Mother
1934,366,Buddy's Adventures
1935,370,The Love Department
1934,372,Behold My Wife
1934,373,One Hour Late
1934,374,"Father Brown, Detective"
1934,379,Evelyn Prentice
1934,380,Murder in the Clouds
1935,381,Maybe It's Love
1935,382,Red Morning
1934,384,The Secret Bride
1935,388,Manhattan Butterfly
1935,389,Romance in Manhattan
1934,390,Broadway Bill
1934,392,The Mighty Barnum
1934,394,The Gay Bride
1934,395,The Painted Veil
1934,396,Flirting with Danger
1935,399,Bordertown
1934,400,Strange Wives
1934,401,Babes in Toyland
1937,401,The Life of the Party
1934,407,In Old Santa Fe
1935,409,Square Shooter
1934,410,Sequoia
1935,411,Biography of a Bachelor Girl
1934,412,Imitation of Life
1934,413,West of the Pecos
1935,414,Main Street Follies
1934,416,Sweet Adeline
1934,417,The Ghost Walks
1934,419,Music in the Air
1934,422,Sing Sing Nights
1934,423,The Mysterious Mr. Wong
1934,424,The Man Who Reclaimed His Head
1935,425,Life Returns
1934,427,Bright Eyes
1935,429,Dancing on the Moon
1935,429,Grand Old Girl
1934,435,The President Vanishes
1934,436,Buddy the Dentist
1935,437,The Perfect Clue
1934,438,The Westerner
1935,443,The Right to Live
1934,448,Sons of Steel
1935,449,Calling All Cars
1935,451,Dizzy Divers
1934,451,The Marines Are Coming
1934,452,A Wicked Woman
1935,455,For Better or Worser
1935,456,Johnny Green & His Orchestra
1935,456,Mystery Woman
1934,457,The Band Plays On
1935,458,Red Hot Tires
1935,459,The Lottery Lover
1935,464,Helldorado
1934,465,Mills of the Gods
1935,470,Night Life of the Gods
1935,472,Horses' Collars
1935,474,The Lives of a Bengal Lancer
1935,475,The Gilded Lily
1935,476,Rocky Mountain Mystery
1935,477,Wings in the Dark
1935,480,Enchanted April
1934,481,The Little Minister
1934,483,Little Men
1934,484,Million Dollar Baby
1935,485,King of the Mardi Gras
1935,486,The County Chairman
1934,487,Forsaking All Others
1936,487,Popeye the Sailor Meets Sindbad the Sailor
1935,489,Betty Boop and Grampy
1935,490,Straight from the Heart
1935,492,Rendezvous at Midnight
1935,494,The Tortoise and the Hare
1935,497,The White Cockatoo
1935,501,Clive of India
1935,503,All American Drawback
1935,505,Behind the Evidence
1935,506,The Best Man Wins
1935,507,Charlie Chan in Paris
1935,508,Rumba
1935,510,The Triumph of Sherlock Holmes
1935,511,A Notorious Gentleman
1935,512,Rescue Squad
1935,516,The Night Is Young
1934,517,Inside Information
1935,519,Society Doctor
1935,520,"The Personal History, Adventures, Experience, & Observation of David Copperfield the Younger"
1935,523,The Woman in Red
1935,524,Devil Dogs of the Air
1934,526,The Clairvoyant
1935,526,Under Pressure
1935,530,One More Spring
1935,531,Carnival
1935,535,Sweepstake Annie
1935,536,Sweet Music
1935,537,Ruggles of Red Gap
1935,538,The Devil Is a Woman
1934,539,All the King's Horses
1935,540,Mississippi
1935,541,The Cowboy and the Bandit
1935,542,Julieta compra un hijo
1935,543,Symphony of Living
1935,544,Mystery of Edwin Drood
1933,544,Sorrell and Son
1935,546,The Revenge Rider
1935,547,Law Beyond the Range
1935,552,Adventurous Knights
1935,553,Women Must Dress
1935,554,The Amateur Husband
1935,555,Once in a Blue Moon
1935,559,The Crimson Trail
1935,560,The Winning Ticket
1935,561,The Good Fairy
1935,562,The Nut Farm
1935,563,Murder on a Honeymoon
1935,563,Stylish Stouts
1935,564,Double Exposure
1935,566,Brown on Resolution
1935,567,Let's Live Tonight
1935,568,The Whole Town's Talking
1935,571,The Mystery Man
1936,571,"Vim, Vigor and Vitaliky"
1935,572,Transient Lady
1935,573,Living on Velvet
1935,576,While the Patient Slept
1935,577,When a Man's a Man
1934,578,The Scarlet Pimpernel
1935,579,Black Fury
1935,580,Gold Diggers of 1935
1935,581,Life Begins at Forty
1935,582,Death Flies East
1935,583,Car 99
1935,584,Love in Bloom
1933,585,Cavalcade
1935,585,McFadden's Flats
1935,586,Musical Memories
1935,586,Shadow of Doubt
1936,587,Somewhere in Dreamland
1934,589,Pechmarie
1935,590,Captain Hurricane
1934,591,Mon coeur t'appelle
1935,593,After Office Hours
1936,593,The Cobweb Hotel
1935,594,The Spinach Overture
1935,596,The Little Colonel
1935,598,Mutiny Ahead
1935,599,The People's Enemy
1935,600,Folies Bergère de Paris
1935,601,Roberta
1935,602,A Shot in the Dark
1930,605,Hell Harbor
1935,608,It Happened in New York
1935,609,A Night at the Ritz
1934,611,Liliom
1935,612,The Great Hotel Murder
1935,613,Adventures of Popeye
1935,613,The Florentine Dagger
1932,614,"Good Night, Vienna"
1935,614,Vanessa: Her Love Story
1933,615,"Yes, Mr. Brown"
1934,620,The Man Who Knew Too Much
1935,621,A Dog of Flanders
1935,622,Naughty Marietta
1936,623,Betty Boop and the Little King
1935,623,Great God Gold
1935,626,The Lost Chick
1935,628,Hold 'Em Yale
1935,629,Four Hours to Kill!
1935,629,Molly Moo-Cow and Rip Van Wrinkle
1935,630,Paris in Spring
1935,633,Laddie
1935,636,I'll Love You Always
1935,637,In Spite of Danger
1935,638,Times Square Lady
1935,640,The Wedding Night
1935,643,Unwelcome Stranger
1935,644,Private Worlds
1936,645,A Clean Shaven Man
1935,646,Molly Moo-Cow and the Butterflies
1935,646,The Casino Murder Case
1935,649,Beautiful Banff and Lake Louise: A FitzPatrick Traveltalk
1935,649,Get That Man
1935,650,Dizzy Dames
1935,651,Public Opinion
1935,652,Angelina o el honor de un brigadier
1935,655,Brewster's Millions
1933,656,Puppets of Fate
1935,660,Sunset Range
1935,661,Along Flirtation Walk
1935,663,Roaring Roads
1935,665,Go Into Your Dance
1935,666,Traveling Saleslady
1935,667,Ten Dollar Raise
1935,669,Men of the Hour
1935,671,People Will Talk
1935,672,Princess O'Hara
1935,673,West Point of the Air
1935,674,George White's 1935 Scandals
1935,676,Cardinal Richelieu
1935,676,Molly Moo-Cow and the Indians
1935,677,Beginner's Luck
1935,678,Behind the Green Lights
1935,679,Eight Bells
1935,680,Mary Jane's Pa
1935,681,Stolen Harmony
1935,683,Dante's Inferno
1935,685,The Case of the Curious Bride
1935,686,Les Misérables
1935,688,Hong Kong Nights
1935,689,Swellhead
1935,690,Strangers All
1935,690,The Divine Spark
1935,692,Mister Dynamite
1935,693,Motive for Revenge
1935,694,One New York Night
